                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0349,                 1.0469,                0.87417,                0.92129,                0.43414,                0.60856,                0.47035,                0.96235,                 1.5859,                0.92674,                0.00406,                0.00406,                0.00406
                     62,                  1.087,                 1.1549,                0.89683,                0.92129,                0.43414,                0.60856,                0.47035,                0.96235,                 1.5859,                0.92674,               0.003961,               0.003961,               0.003961
                     63,                 1.1274,                 1.0819,                0.87451,                0.97455,                0.40741,                 0.5984,                0.45859,                 1.0067,                 1.5343,                0.94338,               0.003862,               0.003862,               0.003862
                     64,                 1.0556,                 1.0865,                0.87153,                0.97455,                0.40741,                 0.5984,                0.45859,                 1.0067,                 1.5343,                0.94338,               0.003763,               0.003763,               0.003763
                     65,                0.95405,                 1.0923,                0.88718,                      1,                0.40486,                0.58686,                0.47363,                 0.9725,                 1.4998,                0.92835,               0.003664,               0.003664,               0.003664
                     66,                  1.058,                 1.0101,                0.87192,                      1,                0.40486,                0.58686,                0.47363,                 0.9725,                 1.4998,                0.92835,               0.003565,               0.003565,               0.003565
                     67,                 1.1041,                 1.1316,                0.89693,                      1,                0.40732,                0.57116,                0.43759,                 1.0075,                 1.5859,                0.93257,               0.003466,               0.003466,               0.003466
                     68,                0.95943,                0.96623,                0.88266,                      1,                0.40732,                0.57116,                0.43759,                 1.0075,                 1.5859,                0.93257,               0.003367,               0.003367,               0.003367
                     69,                0.99495,                  1.008,                0.88813,                0.91506,                0.39957,                 0.5422,                0.42348,                 1.0294,                 1.6287,                 0.9713,               0.003268,               0.003268,               0.003268
                     70,                 0.9025,                0.87916,                0.83487,                0.91506,                0.39957,                 0.5422,                0.42348,                 1.0294,                 1.6287,                 0.9713,               0.003169,               0.003169,               0.003169
                     71,                 1.0534,                 1.0059,                0.88413,                0.77662,                0.44444,                0.55167,                 0.4202,                 1.0702,                 1.6724,                0.96069,                0.00307,                0.00307,                0.00307
                     72,                0.91797,                0.98483,                0.85389,                0.77662,                0.44444,                0.55167,                 0.4202,                 1.0702,                 1.6724,                0.96069,               0.002971,               0.002971,               0.002971
                     73,                0.90757,                 1.0062,                0.86516,                0.77574,                0.51275,                0.58949,                0.45543,                 1.0006,                 1.5081,                0.93455,               0.002872,               0.002872,               0.002872
                     74,                0.78802,                0.94078,                0.89809,                0.77574,                0.51275,                0.58949,                0.45543,                 1.0006,                 1.5081,                0.93455,               0.002773,               0.002773,               0.002773
                     75,                0.92248,                0.96384,                0.86445,                0.83686,                0.48148,                0.61583,                0.47399,                0.96037,                 1.4355,                0.92525,               0.002674,               0.002674,               0.002674
                     76,                0.92135,                0.93956,                0.83095,                0.83686,                0.48148,                0.61583,                0.47399,                0.96037,                 1.4355,                0.92525,               0.002575,               0.002575,               0.002575
                     77,                0.85421,                0.93192,                0.87722,                0.66098,                0.48148,                0.58373,                0.44504,                0.93871,                 1.4353,                0.93102,               0.002476,               0.002476,               0.002476
                     78,                 1.0532,                0.97283,                 0.8652,                0.66098,                0.48148,                0.58373,                0.44504,                0.93871,                 1.4353,                0.93102,               0.002377,               0.002377,               0.002377
                     79,                0.81598,                0.87624,                0.81938,                0.71883,                0.47379,                 0.5677,                0.44875,                0.93593,                 1.3541,                0.93187,               0.002278,               0.002278,               0.002278
                     80,                0.90217,                0.86487,                0.87148,                0.71883,                0.47379,                 0.5677,                0.44875,                0.93593,                 1.3541,                0.93187,               0.002179,               0.002179,               0.002179
                     81,                0.85004,                 0.8526,                0.83071,                0.55103,                0.55556,                0.58709,                0.44769,                0.95086,                 1.2916,                0.94589,                0.00208,                0.00208,                0.00208
                     82,                0.80523,                 0.9103,                0.84861,                0.55103,                0.55556,                0.58709,                0.44769,                0.95086,                 1.2916,                0.94589,               0.001981,               0.001981,               0.001981
                     83,                0.89268,                0.91668,                 0.8657,                0.66579,                0.59259,                0.60167,                 0.4641,                0.98382,                 1.3057,                0.93855,               0.001882,               0.001882,               0.001882
                     84,                 1.1112,                 1.1073,                0.91523,                0.66579,                0.59259,                0.60167,                 0.4641,                0.98382,                 1.3057,                0.93855,               0.001783,               0.001783,               0.001783
                     85,                0.89614,                0.95596,                0.85937,                0.70792,                0.59259,                0.61623,                0.47046,                0.99202,                 1.2517,                0.92158,               0.001684,               0.001684,               0.001684
                     86,                0.84333,                0.90155,                0.83582,                0.70792,                0.59259,                0.61623,                0.47046,                0.99202,                 1.2517,                0.92158,               0.001585,               0.001585,               0.001585
                     87,                0.92343,                0.90865,                0.85867,                0.72097,                0.57463,                0.62247,                0.47482,                 0.9526,                 1.2276,                0.90878,               0.001486,               0.001486,               0.001486
                     88,                0.90386,                0.86002,                0.84587,                0.72097,                0.57463,                0.62247,                0.47482,                 0.9526,                 1.2276,                0.90878,               0.001387,               0.001387,               0.001387
                     89,                0.78472,                0.77989,                 0.8315,                0.63514,                0.64507,                 0.6297,                0.47882,                0.92241,                 1.2142,                0.90186,               0.001288,               0.001288,               0.001288
                     90,                0.87354,                0.86476,                0.86487,                0.63514,                0.64507,                 0.6297,                0.47882,                0.92241,                 1.2142,                0.90186,               0.001189,               0.001189,               0.001189
                     91,                 0.8599,                0.86777,                0.86699,                 0.6393,                 0.6567,                0.62337,                0.47606,                 0.9085,                 1.2278,                0.89827,                0.00109,                0.00109,                0.00109
                     92,                0.85964,                0.85332,                0.83518,                 0.6393,                 0.6567,                0.62337,                0.47606,                 0.9085,                 1.2278,                0.89827,               0.000991,               0.000991,               0.000991
                     93,                0.95923,                0.89121,                0.86821,                0.64114,                0.66186,                0.63171,                0.48819,                0.89281,                 1.2326,                0.89371,               0.000892,               0.000892,               0.000892
                     94,                0.84699,                0.82572,                0.83739,                0.64114,                0.66186,                0.63171,                0.48819,                0.89281,                 1.2326,                0.89371,               0.000793,               0.000793,               0.000793
                     95,                0.96928,                0.94978,                0.86687,                0.61981,                0.62963,                0.62163,                0.48136,                0.88788,                 1.2549,                 0.8963,               0.000694,               0.000694,               0.000694
                     96,                0.85531,                 0.8656,                 0.8485,                0.61981,                0.62963,                0.62163,                0.48136,                0.88788,                 1.2549,                 0.8963,               0.000595,               0.000595,               0.000595
                     97,                0.80452,                0.86677,                0.84201,                0.74994,                0.55539,                0.62878,                0.47818,                0.87629,                 1.2485,                0.89362,               0.000496,               0.000496,               0.000496
                     98,                0.88683,                0.97048,                0.88202,                0.74994,                0.55539,                0.62878,                0.47818,                0.87629,                 1.2485,                0.89362,               0.000397,               0.000397,               0.000397
                     99,                0.77046,                0.80741,                0.84912,                0.74277,                0.55556,                 0.6329,                0.47367,                0.86516,                 1.2339,                0.88956,               0.000298,               0.000298,               0.000298
